BioProject	Run	Common Name
PRJEB31061	ERR3307891	NC350
PRJEB31061	ERR3307892	NC350
PRJEB31061	ERR3307893	NC350
PRJEB31061	ERR3307894	Oh43
PRJEB31061	ERR3307895	Oh43
PRJEB31061	ERR3307896	Oh43
PRJEB31061	ERR3307897	Oh43
PRJEB31061	ERR3307898	Oh7B
PRJEB31061	ERR3307899	Oh7B
PRJEB31061	ERR3307900	Oh7B
PRJEB31061	ERR3307901	Oh7B
PRJEB31061	ERR3307902	P39
PRJEB31061	ERR3307903	P39
PRJEB31061	ERR3307904	P39
PRJEB31061	ERR3307905	P39
PRJEB31061	ERR3307906	Tx303
PRJEB31061	ERR3307907	Tx303
PRJEB31061	ERR3307908	Tx303
PRJEB31061	ERR3307909	Tx303
PRJNA609577	SRR11301547	Dong46
PRJNA609577	SRR11301548	Dong46
PRJNA609577	SRR11301551	3IBZ2
PRJNA609577	SRR11301553	Lx9801
PRJNA609577	SRR11301554	Lx9801
PRJNA609577	SRR11301555	Lx9801
PRJNA609577	SRR11301556	515
PRJNA609577	SRR11301557	515
PRJNA609577	SRR11301558	K12
PRJNA609577	SRR11301559	K12
PRJNA609577	SRR11301560	444
PRJNA609577	SRR11301561	444
PRJNA609577	SRR11301562	6F629
PRJNA609577	SRR11301563	Jing7
PRJNA609577	SRR11301564	Jing7
PRJNA609577	SRR11301565	Ji853
PRJNA609577	SRR11301566	Ji853
PRJNA609577	SRR11301573	6F629
PRJNA609577	SRR11301579	P138
PRJNA609577	SRR11301580	P138
PRJNA609577	SRR11301582	Shen137
PRJNA609577	SRR11301583	Shen137
PRJNA609577	SRR11301584	Qi319
PRJNA609577	SRR11301585	FBLA
PRJNA609577	SRR11301586	Qi319
PRJNA609577	SRR11301587	698_3
PRJNA609577	SRR11301588	698_3
PRJNA609577	SRR11301589	Longkang11
PRJNA609577	SRR11301590	Longkang11
PRJNA609577	SRR11301591	Huobai
PRJNA609577	SRR11301592	Huobai
PRJNA609577	SRR11301593	9058
PRJNA609577	SRR11301594	9058
PRJNA609577	SRR11301596	FBLA
PRJNA609577	SRR11301599	Huangyesi3
PRJNA609577	SRR11301600	7884_7Ht
PRJNA609577	SRR11301601	5005
PRJNA609577	SRR11301602	81162
PRJNA609577	SRR11301603	18_599
PRJNA609577	SRR11301604	PHH93
PRJNA609577	SRR11301605	IBB14
PRJNA609577	SRR11301606	Aijin525
PRJNA609577	SRR11301607	IBB14
PRJNA609577	SRR11301608	787
PRJNA609577	SRR11301609	787
PRJNA609577	SRR11301610	PHW30
PRJNA609577	SRR11301611	PHW30
PRJNA609577	SRR11301612	LH220Ht
PRJNA609577	SRR11301613	LH220Ht
PRJNA609577	SRR11301614	W23
PRJNA609577	SRR11301615	W23
PRJNA609577	SRR11301616	H84
PRJNA609577	SRR11301617	Yuanqi123
PRJNA609577	SRR11301618	H84
PRJNA609577	SRR11301619	Va26
PRJNA609577	SRR11301620	Va26
PRJNA609577	SRR11301621	B76
PRJNA609577	SRR11301622	B76
PRJNA609577	SRR11301623	B95
PRJNA609577	SRR11301624	B95
PRJNA609577	SRR11301625	B100
PRJNA609577	SRR11301626	B100
PRJNA609577	SRR11301627	B73
PRJNA609577	SRR11301628	Qi35
PRJNA609577	SRR11301629	B73
PRJNA609577	SRR11301630	BZN
PRJNA609577	SRR11301631	BZN
PRJNA609577	SRR11301632	A632
PRJNA609577	SRR11301633	A632
PRJNA609577	SRR11301634	200B
PRJNA609577	SRR11301635	200B
PRJNA609577	SRR11301636	Zong3
PRJNA609577	SRR11301637	Zong3
PRJNA609577	SRR11301638	Zi330
PRJNA609577	SRR11301639	Yuanwu02
PRJNA609577	SRR11301640	Zi330
PRJNA609577	SRR11301641	488
PRJNA609577	SRR11301642	488
PRJNA609577	SRR11301643	Xi14
PRJNA609577	SRR11301644	Xi14
PRJNA609577	SRR11301645	Tie7922
PRJNA609577	SRR11301646	Tie7922
PRJNA609577	SRR11301647	Ji842
PRJNA609577	SRR11301648	Ji842
PRJNA609577	SRR11301658	C102
PRJNA609577	SRR11301666	Tai184
PRJNA609577	SRR11301677	Hai1134
PRJNA609577	SRR11301688	Cheng687
PRJNA609577	SRR11301694	MS153
PRJNA609577	SRR11301695	MS153
PRJNA609577	SRR11301696	MS153
PRJNA609577	SRR11301698	I159
PRJNA609577	SRR11301699	Xinaiguang10
PRJNA609577	SRR11301700	I159
PRJNA609577	SRR11301708	A334
PRJNA609577	SRR11301709	A334
PRJNA609577	SRR11301710	Dan341
PRJNA609577	SRR11301721	Dan99chang
PRJNA609577	SRR11301722	CM37
PRJNA609577	SRR11301723	CM37
PRJNA609577	SRR11301724	Mt42
